,Artists,Song,Rank,Week
2625,Lil Dicky Featuring Chris Brown,Freaky Friday,26,2018-06-09
2626,Rich The Kid,Plug Walk,27,2018-06-09
2627,Taylor Swift,Delicate,28,2018-06-09
2628,The Weeknd & Kendrick Lamar,Pray For Me,29,2018-06-09
2629,Post Malone,Better Now,30,2018-06-09
2630,Dua Lipa,New Rules,31,2018-06-09
2631,Calvin Harris & Dua Lipa,One Kiss,32,2018-06-09
2632,Nicki Minaj,Chun-Li,33,2018-06-09
2633,Luke Combs,One Number Away,34,2018-06-09
2634,Khalid & Normani,Love Lies,35,2018-06-09
2635,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-06-09
2636,Dan + Shay,Tequila,37,2018-06-09
2637,Selena Gomez,Back To You,38,2018-06-09
2638,Bruno Mars & Cardi B,Finesse,39,2018-06-09
2639,The Weeknd,Call Out My Name,40,2018-06-09
2640,Kendrick Lamar & SZA,All The Stars,41,2018-06-09
2641,Jason Aldean,You Make It Easy,42,2018-06-09
2642,XXXTENTACION,Sad!,43,2018-06-09
2643,Offset & Metro Boomin,Ric Flair Drip,44,2018-06-09
2644,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),45,2018-06-09
2645,6ix9ine Featuring DJ SPINKING,TATI,46,2018-06-09
2646,Juice WRLD,All Girls Are The Same,47,2018-06-09
2647,Nicky Jam x J Balvin,X,48,2018-06-09
2648,Dua Lipa,IDGAF,49,2018-06-09
2649,Rae Sremmurd & Juicy J,Powerglide,50,2018-06-09
2650,BTS,Fake Love,51,2018-06-09
2651,YoungBoy Never Broke Again,Overdose,52,2018-06-09
2652,Daddy Yankee,Dura,53,2018-06-09
2653,Morgan Wallen Featuring Florida Georgia Line,Up Down,54,2018-06-09
2654,Charlie Puth Featuring Kehlani,Done For Me,55,2018-06-09
2655,Lauv,I Like Me Better,56,2018-06-09
2656,Kenny Chesney,Get Along,57,2018-06-09
2657,Famous Dex,Japan,58,2018-06-09
2658,J. Cole,KOD,59,2018-06-09
2659,Lil Pump,Esskeetit,60,2018-06-09
2660,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,61,2018-06-09
2661,Post Malone Featuring Nicki Minaj,Ball For Me,62,2018-06-09
2662,A$AP Rocky Featuring Moby,A$AP Forever,63,2018-06-09
2663,Foster The People,Sit Next To Me,64,2018-06-09
2664,Pusha T,Infrared,65,2018-06-09
2665,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,66,2018-06-09
2666,Dierks Bentley,"Woman, Amen",67,2018-06-09
2667,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,68,2018-06-09
2668,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,69,2018-06-09
2669,Halsey Featuring Big Sean & Stefflon Don,Alone,70,2018-06-09
2670,Blake Shelton,I Lived It,71,2018-06-09
2671,Brett Young,Mercy,72,2018-06-09
2672,Pusha T,If You Know You Know,73,2018-06-09
2673,Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,74,2018-06-09
2674,Pusha T Featuring Kanye West,What Would Meek Do?,75,2018-06-09
2675,Shawn Mendes Featuring Khalid,Youth,76,2018-06-09
2676,"Khalid, Ty Dolla $ign & 6LACK",OTW,77,2018-06-09
2677,Cardi B Featuring Migos,Drip,78,2018-06-09
2678,Post Malone,Rich & Sad,79,2018-06-09
2679,Jennifer Lopez Featuring DJ Khaled & Cardi B,Dinero,80,2018-06-09
2680,Darius Rucker,For The First Time,81,2018-06-09
2681,Tyga Featuring Offset,Taste,82,2018-06-09
2682,Post Malone,Paranoid,83,2018-06-09
2683,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,84,2018-06-09
2684,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,85,2018-06-09
2685,Bad Wolves,Zombie,86,2018-06-09
2686,Lil Skies,Lust,87,2018-06-09
2687,Playboi Carti Featuring Lil Uzi Vert,Shoota,88,2018-06-09
2688,Billie Eilish & Khalid,Lovely,89,2018-06-09
2689,Rich The Kid Featuring Kendrick Lamar,New Freezer,90,2018-06-09
2690,Jordan Davis,Singles You Up,91,2018-06-09
2691,Luke Bryan,Most People Are Good,92,2018-06-09
2692,Jake Owen,I Was Jack (You Were Diane),93,2018-06-09
2693,Maroon 5 Featuring Cardi B,Girls Like You,94,2018-06-09
2694,Logic & Marshmello,Everyday,95,2018-06-09
2695,Ozuna & Romeo Santos,El Farsante,96,2018-06-09
2696,Post Malone Featuring Swae Lee,Spoil My Night,97,2018-06-09
2697,Panic! At The Disco,High Hopes,98,2018-06-09
2698,XXXTENTACION,Moonlight,99,2018-06-09
2699,Pusha T,The Games We Play,100,2018-06-09
2700,Drake,Nice For What,1,2018-06-02
2701,Childish Gambino,This Is America,2,2018-06-02
2702,Drake,God's Plan,3,2018-06-02
2703,Post Malone Featuring Ty Dolla $ign,Psycho,4,2018-06-02
2704,"Zedd, Maren Morris & Grey",The Middle,5,2018-06-02
2705,Lil Baby & Drake,Yes Indeed,6,2018-06-02
2706,Bebe Rexha & Florida Georgia Line,Meant To Be,7,2018-06-02
2707,Ella Mai,Boo'd Up,8,2018-06-02
2708,Ariana Grande,No Tears Left To Cry,9,2018-06-02
2709,BTS,Fake Love,10,2018-06-02
2710,Marshmello & Anne-Marie,Friends,11,2018-06-02
2711,BlocBoy JB Featuring Drake,Look Alive,12,2018-06-02
2712,Camila Cabello,Never Be The Same,13,2018-06-02
2713,Migos Featuring Drake,Walk It Talk It,14,2018-06-02
2714,Ed Sheeran,Perfect,15,2018-06-02
2715,Cardi B,Be Careful,16,2018-06-02
2716,Imagine Dragons,Whatever It Takes,17,2018-06-02
2717,Bazzi,Mine,18,2018-06-02
2718,"Cardi B, Bad Bunny & J Balvin",I Like It,19,2018-06-02
2719,Shawn Mendes,In My Blood,20,2018-06-02
2720,Kane Brown,Heaven,21,2018-06-02
2721,Lil Dicky Featuring Chris Brown,Freaky Friday,22,2018-06-02
2722,Post Malone Featuring 21 Savage,Rockstar,23,2018-06-02
2723,Camila Cabello Featuring Young Thug,Havana,24,2018-06-02
2724,The Weeknd & Kendrick Lamar,Pray For Me,25,2018-06-02
2725,Rich The Kid,Plug Walk,26,2018-06-02
2726,Maroon 5,Wait,27,2018-06-02
2727,Nicki Minaj,Chun-Li,28,2018-06-02
2728,Post Malone,Better Now,29,2018-06-02
2729,The Weeknd,Call Out My Name,30,2018-06-02
2730,Dua Lipa,New Rules,31,2018-06-02
2731,XXXTENTACION,Sad!,32,2018-06-02
2732,Kendrick Lamar & SZA,All The Stars,33,2018-06-02
2733,Taylor Swift,Delicate,34,2018-06-02
2734,Juice WRLD,Lucid Dreams,35,2018-06-02
2735,Khalid & Normani,Love Lies,36,2018-06-02
2736,Bruno Mars & Cardi B,Finesse,37,2018-06-02
2737,Luke Combs,One Number Away,38,2018-06-02
2738,Jason Aldean,You Make It Easy,39,2018-06-02
2739,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,40,2018-06-02
2740,Rae Sremmurd & Juicy J,Powerglide,41,2018-06-02
2741,YoungBoy Never Broke Again,Overdose,42,2018-06-02
2742,Calvin Harris & Dua Lipa,One Kiss,43,2018-06-02
2743,Dan + Shay,Tequila,44,2018-06-02
2744,Offset & Metro Boomin,Ric Flair Drip,45,2018-06-02
2745,Selena Gomez,Back To You,46,2018-06-02
2746,Daddy Yankee,Dura,47,2018-06-02
2747,Nicky Jam x J Balvin,X,48,2018-06-02
2748,J. Cole,KOD,49,2018-06-02
2749,Post Malone Featuring Nicki Minaj,Ball For Me,50,2018-06-02
2750,Dua Lipa,IDGAF,51,2018-06-02
2751,Famous Dex,Japan,52,2018-06-02
2752,Juice WRLD,All Girls Are The Same,53,2018-06-02
2753,Charlie Puth Featuring Kehlani,Done For Me,54,2018-06-02
2754,Lauv,I Like Me Better,55,2018-06-02
2755,Lil Pump,Esskeetit,56,2018-06-02
2756,Morgan Wallen Featuring Florida Georgia Line,Up Down,57,2018-06-02
2757,Darius Rucker,For The First Time,58,2018-06-02
2758,Kenny Chesney,Get Along,59,2018-06-02
2759,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,60,2018-06-02
2760,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,61,2018-06-02
2761,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,62,2018-06-02
2762,Foster The People,Sit Next To Me,63,2018-06-02
2763,Blake Shelton,I Lived It,64,2018-06-02
2764,Post Malone,Rich & Sad,65,2018-06-02
2765,Post Malone,Paranoid,66,2018-06-02
2766,Playboi Carti Featuring Lil Uzi Vert,Shoota,67,2018-06-02
2767,Kevin Gates,Change Lanes,68,2018-06-02
2768,"Khalid, Ty Dolla $ign & 6LACK",OTW,69,2018-06-02
2769,Halsey Featuring Big Sean & Stefflon Don,Alone,70,2018-06-02
2770,Brett Young,Mercy,71,2018-06-02
2771,Cardi B Featuring Migos,Drip,72,2018-06-02
2772,Kris Wu,Like That,73,2018-06-02
2773,Dierks Bentley,"Woman, Amen",74,2018-06-02
2774,Rich The Kid Featuring Kendrick Lamar,New Freezer,75,2018-06-02
2775,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,76,2018-06-02
2776,Post Malone Featuring Swae Lee,Spoil My Night,77,2018-06-02
2777,Jordan Davis,Singles You Up,78,2018-06-02
2778,Lil Baby,Southside,79,2018-06-02
2779,Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,80,2018-06-02
2780,Luke Bryan,Most People Are Good,81,2018-06-02
2781,Kevin Gates,Let It Sing,82,2018-06-02
2782,Pharrell Williams x Camila Cabello,Sangria Wine,83,2018-06-02
2783,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,84,2018-06-02
2784,Bad Wolves,Zombie,85,2018-06-02
2785,NAV Featuring Travis Scott,Champion,86,2018-06-02
2786,Lil Skies Featuring Landon Cube,Red Roses,87,2018-06-02
2787,Post Malone,Stay,88,2018-06-02
2788,J. Cole,ATM,89,2018-06-02
2789,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,90,2018-06-02
2790,Logic & Marshmello,Everyday,91,2018-06-02
2791,J. Cole,Kevin's Heart,92,2018-06-02
2792,Meghan Trainor,No Excuses,93,2018-06-02
2793,XXXTENTACION,Moonlight,94,2018-06-02
2794,Lil Skies,Lust,95,2018-06-02
2795,Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops,96,2018-06-02
2796,YoungBoy Never Broke Again,Outside Today,97,2018-06-02
2797,Sam Hunt,Downtown's Dead,98,2018-06-02
2798,Backstreet Boys,Don't Go Breaking My Heart,99,2018-06-02
2799,Ozuna & Romeo Santos,El Farsante,100,2018-06-02
2800,Drake,Nice For What,1,2018-05-26
2801,Drake,Nice For What,2,2018-05-26
2802,Drake,God's Plan,3,2018-05-26
2803,Post Malone Featuring Ty Dolla $ign,Psycho,4,2018-05-26
2804,Bebe Rexha & Florida Georgia Line,Meant To Be,5,2018-05-26
2805,"Zedd, Maren Morris & Grey",The Middle,6,2018-05-26
2806,Ariana Grande,No Tears Left To Cry,7,2018-05-26
2807,BlocBoy JB Featuring Drake,Look Alive,8,2018-05-26
2808,Camila Cabello,Never Be The Same,9,2018-05-26
2809,Ed Sheeran,Perfect,10,2018-05-26
2810,Ella Mai,Boo'd Up,11,2018-05-26
2811,Migos Featuring Drake,Walk It Talk It,12,2018-05-26
2812,Lil Dicky Featuring Chris Brown,Freaky Friday,13,2018-05-26
2813,Imagine Dragons,Whatever It Takes,14,2018-05-26
2814,Kane Brown,Heaven,15,2018-05-26
2815,Marshmello & Anne-Marie,Friends,16,2018-05-26
2816,Bazzi,Mine,17,2018-05-26
2817,The Weeknd & Kendrick Lamar,Pray For Me,18,2018-05-26
2818,Post Malone Featuring 21 Savage,Rockstar,19,2018-05-26
2819,Shawn Mendes,In My Blood,20,2018-05-26
2820,"Cardi B, Bad Bunny & J Balvin",I Like It,21,2018-05-26
2821,Rich The Kid,Plug Walk,22,2018-05-26
2822,Cardi B,Be Careful,23,2018-05-26
2823,Camila Cabello Featuring Young Thug,Havana,24,2018-05-26
2824,Maroon 5,Wait,25,2018-05-26
2825,Post Malone,Better Now,26,2018-05-26
2826,XXXTENTACION,Sad!,27,2018-05-26
2827,Dua Lipa,New Rules,28,2018-05-26
2828,Nicki Minaj,Chun-Li,29,2018-05-26
2829,Bruno Mars & Cardi B,Finesse,30,2018-05-26
2830,Rae Sremmurd & Juicy J,Powerglide,31,2018-05-26
2831,The Weeknd,Call Out My Name,32,2018-05-26
2832,Kendrick Lamar & SZA,All The Stars,33,2018-05-26
2833,Jason Aldean,You Make It Easy,34,2018-05-26
2834,Luke Combs,One Number Away,35,2018-05-26
2835,Taylor Swift,Delicate,36,2018-05-26
2836,Offset & Metro Boomin,Ric Flair Drip,37,2018-05-26
2837,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,38,2018-05-26
2838,Calvin Harris & Dua Lipa,One Kiss,39,2018-05-26
2839,Famous Dex,Japan,40,2018-05-26
2840,Nicky Jam x J Balvin,X,41,2018-05-26
2841,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,42,2018-05-26
2842,Daddy Yankee,Dura,43,2018-05-26
2843,Migos,Stir Fry,44,2018-05-26
2844,J. Cole,KOD,45,2018-05-26
2845,Playboi Carti Featuring Lil Uzi Vert,Shoota,46,2018-05-26
2846,Khalid & Normani,Love Lies,47,2018-05-26
2847,Dan + Shay,Tequila,48,2018-05-26
2848,Lil Baby & Drake,Yes Indeed,49,2018-05-26
2849,Selena Gomez,Back To You,50,2018-05-26
2850,Post Malone Featuring Nicki Minaj,Ball For Me,51,2018-05-26
2851,YoungBoy Never Broke Again,Overdose,52,2018-05-26
2852,Charlie Puth Featuring Kehlani,Done For Me,53,2018-05-26
2853,Post Malone,Paranoid,54,2018-05-26
2854,Post Malone,Rich & Sad,55,2018-05-26
2855,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,56,2018-05-26
2856,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,57,2018-05-26
2857,Lil Pump,Esskeetit,58,2018-05-26
2858,Dua Lipa,IDGAF,59,2018-05-26
2859,Post Malone Featuring Swae Lee,Spoil My Night,60,2018-05-26
2860,Lauv,I Like Me Better,61,2018-05-26
2861,Morgan Wallen Featuring Florida Georgia Line,Up Down,62,2018-05-26
2862,J. Cole,ATM,63,2018-05-26
2863,Kenny Chesney,Get Along,64,2018-05-26
2864,Post Malone,Stay,65,2018-05-26
2865,"Khalid, Ty Dolla $ign & 6LACK",OTW,66,2018-05-26
2866,Meghan Trainor,No Excuses,67,2018-05-26
2867,J. Cole,Kevin's Heart,68,2018-05-26
2868,Cardi B Featuring Migos,Drip,69,2018-05-26
2869,Blake Shelton,I Lived It,70,2018-05-26
2870,Darius Rucker,For The First Time,71,2018-05-26
2871,Foster The People,Sit Next To Me,72,2018-05-26
2872,Rich The Kid Featuring Kendrick Lamar,New Freezer,73,2018-05-26
2873,Juice WRLD,Lucid Dreams,74,2018-05-26
2874,Luke Bryan,Most People Are Good,75,2018-05-26
2875,Bad Wolves,Zombie,76,2018-05-26
2876,Reik Featuring Ozuna & Wisin,Me Niego,77,2018-05-26
2877,Dierks Bentley,"Woman, Amen",78,2018-05-26
2878,Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops,79,2018-05-26
2879,YoungBoy Never Broke Again,Outside Today,80,2018-05-26
2880,Logic & Marshmello,Everyday,81,2018-05-26
2881,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,82,2018-05-26
2882,Jordan Davis,Singles You Up,83,2018-05-26
2883,Halsey Featuring Big Sean & Stefflon Don,Alone,84,2018-05-26
2884,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,85,2018-05-26
2885,Brett Young,Mercy,86,2018-05-26
2886,Lil Skies Featuring Landon Cube,Red Roses,87,2018-05-26
2887,XXXTENTACION,Moonlight,88,2018-05-26
2888,Post Malone,Over Now,89,2018-05-26
2889,Post Malone,Zack And Codeine,90,2018-05-26
2890,Lil Skies,Lust,91,2018-05-26
2891,Juice WRLD,All Girls Are The Same,92,2018-05-26
2892,Post Malone Featuring G-Eazy & YG,Same Bitches,93,2018-05-26
2893,Tank,When We,94,2018-05-26
2894,Carrie Underwood,Cry Pretty,95,2018-05-26
2895,Ozuna & Romeo Santos,El Farsante,96,2018-05-26
2896,Post Malone,Takin' Shots,97,2018-05-26
2897,Post Malone,92 Explorer,98,2018-05-26
2898,Luke Combs,Beautiful Crazy,99,2018-05-26
2899,Justin Timberlake Featuring Chris Stapleton,Say Something,100,2018-05-26
2900,Drake,Nice For What,1,2018-05-19
2901,Drake,Nice For What,2,2018-05-19
2902,Drake,God's Plan,3,2018-05-19
2903,Post Malone Featuring Ty Dolla $ign,Psycho,4,2018-05-19
2904,Bebe Rexha & Florida Georgia Line,Meant To Be,5,2018-05-19
2905,"Zedd, Maren Morris & Grey",The Middle,6,2018-05-19
2906,BlocBoy JB Featuring Drake,Look Alive,7,2018-05-19
2907,Camila Cabello,Never Be The Same,8,2018-05-19
2908,Ed Sheeran,Perfect,9,2018-05-19
2909,Ariana Grande,No Tears Left To Cry,10,2018-05-19
2910,Lil Dicky Featuring Chris Brown,Freaky Friday,11,2018-05-19
2911,Imagine Dragons,Whatever It Takes,12,2018-05-19
2912,Post Malone Featuring 21 Savage,Rockstar,13,2018-05-19
2913,Migos Featuring Drake,Walk It Talk It,14,2018-05-19
2914,Bazzi,Mine,15,2018-05-19
2915,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,16,2018-05-19
2916,Ella Mai,Boo'd Up,17,2018-05-19
2917,"Cardi B, Bad Bunny & J Balvin",I Like It,18,2018-05-19
2918,Nicki Minaj,Chun-Li,19,2018-05-19
2919,Kane Brown,Heaven,20,2018-05-19
2920,Marshmello & Anne-Marie,Friends,21,2018-05-19
2921,The Weeknd & Kendrick Lamar,Pray For Me,22,2018-05-19
2922,Post Malone,Better Now,23,2018-05-19
2923,Camila Cabello Featuring Young Thug,Havana,24,2018-05-19
2924,Cardi B,Be Careful,25,2018-05-19
2925,Rich The Kid,Plug Walk,26,2018-05-19
2926,Shawn Mendes,In My Blood,27,2018-05-19
2927,Rae Sremmurd & Juicy J,Powerglide,28,2018-05-19
2928,The Weeknd,Call Out My Name,29,2018-05-19
2929,Maroon 5,Wait,30,2018-05-19
2930,Bruno Mars & Cardi B,Finesse,31,2018-05-19
2931,Dua Lipa,New Rules,32,2018-05-19
2932,Jason Aldean,You Make It Easy,33,2018-05-19
2933,XXXTENTACION,Sad!,34,2018-05-19
2934,Kendrick Lamar & SZA,All The Stars,35,2018-05-19
2935,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,36,2018-05-19
2936,Offset & Metro Boomin,Ric Flair Drip,37,2018-05-19
2937,Post Malone,Paranoid,38,2018-05-19
2938,Post Malone,Rich & Sad,39,2018-05-19
2939,Post Malone Featuring Nicki Minaj,Ball For Me,40,2018-05-19
2940,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,41,2018-05-19
2941,Nicky Jam x J Balvin,X,42,2018-05-19
2942,Daddy Yankee,Dura,43,2018-05-19
2943,Luke Combs,One Number Away,44,2018-05-19
2944,Post Malone,Stay,45,2018-05-19
2945,Taylor Swift,Delicate,46,2018-05-19
2946,YoungBoy Never Broke Again,Overdose,47,2018-05-19
2947,Famous Dex,Japan,48,2018-05-19
2948,Calvin Harris & Dua Lipa,One Kiss,49,2018-05-19
2949,Migos,Stir Fry,50,2018-05-19
2950,Post Malone Featuring Swae Lee,Spoil My Night,51,2018-05-19
2951,J. Cole,KOD,52,2018-05-19
2952,Lil Pump,Esskeetit,53,2018-05-19
2953,Khalid & Normani,Love Lies,54,2018-05-19
2954,Dan + Shay,Tequila,55,2018-05-19
2955,J. Cole,ATM,56,2018-05-19
2956,J. Cole,Kevin's Heart,57,2018-05-19
2957,Luke Combs,Beautiful Crazy,58,2018-05-19
2958,Meghan Trainor,No Excuses,59,2018-05-19
2959,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,60,2018-05-19
2960,Dua Lipa,IDGAF,61,2018-05-19
2961,Cardi B Featuring Migos,Drip,62,2018-05-19
2962,Post Malone,Zack And Codeine,63,2018-05-19
2963,Post Malone,Over Now,64,2018-05-19
2964,Shawn Mendes Featuring Khalid,Youth,65,2018-05-19
2965,Post Malone Featuring G-Eazy & YG,Same Bitches,66,2018-05-19
2966,Post Malone,Takin' Shots,67,2018-05-19
2967,Rich The Kid Featuring Kendrick Lamar,New Freezer,68,2018-05-19
2968,Post Malone,92 Explorer,69,2018-05-19
2969,Kenny Chesney,Get Along,70,2018-05-19
2970,Morgan Wallen Featuring Florida Georgia Line,Up Down,71,2018-05-19
2971,Lauv,I Like Me Better,72,2018-05-19
2972,Luke Bryan,Most People Are Good,73,2018-05-19
2973,Charlie Puth Featuring Kehlani,Done For Me,74,2018-05-19
2974,Logic & Marshmello,Everyday,75,2018-05-19
2975,Darius Rucker,For The First Time,76,2018-05-19
2976,Jordan Davis,Singles You Up,77,2018-05-19
2977,YoungBoy Never Broke Again,Outside Today,78,2018-05-19
2978,Bad Wolves,Zombie,79,2018-05-19
2979,Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops,80,2018-05-19
2980,Cardi B Featuring 21 Savage,Bartier Cardi,81,2018-05-19
2981,"Khalid, Ty Dolla $ign & 6LACK",OTW,82,2018-05-19
2982,Foster The People,Sit Next To Me,83,2018-05-19
2983,Nicki Minaj,Barbie Tingz,84,2018-05-19
2984,Blake Shelton,I Lived It,85,2018-05-19
2985,Dierks Bentley,"Woman, Amen",86,2018-05-19
2986,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,87,2018-05-19
2987,Justin Timberlake Featuring Chris Stapleton,Say Something,88,2018-05-19
2988,Post Malone,Otherside,89,2018-05-19
2989,Halsey Featuring Big Sean & Stefflon Don,Alone,90,2018-05-19
2990,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,91,2018-05-19
2991,Ozuna & Romeo Santos,El Farsante,92,2018-05-19
2992,Post Malone,Blame It On Me,93,2018-05-19
2993,YoungBoy Never Broke Again,Diamond Teeth Samurai,94,2018-05-19
2994,Mason Ramsey,Famous,95,2018-05-19
2995,Cardi B Featuring SZA,I Do,96,2018-05-19
2996,Brett Young,Mercy,97,2018-05-19
2997,YoungBoy Never Broke Again,Preach,98,2018-05-19
2998,Lil Skies Featuring Landon Cube,Red Roses,99,2018-05-19
2999,Tank,When We,100,2018-05-19
3000,Drake,Nice For What,1,2018-05-12
3001,Post Malone Featuring Ty Dolla $ign,Psycho,2,2018-05-12
3002,Drake,God's Plan,3,2018-05-12
3003,Bebe Rexha & Florida Georgia Line,Meant To Be,4,2018-05-12
3004,"Zedd, Maren Morris & Grey",The Middle,5,2018-05-12
3005,Camila Cabello,Never Be The Same,6,2018-05-12
3006,Post Malone,Better Now,7,2018-05-12
3007,Post Malone Featuring 21 Savage,Rockstar,8,2018-05-12
3008,BlocBoy JB Featuring Drake,Look Alive,9,2018-05-12
3009,Ariana Grande,No Tears Left To Cry,10,2018-05-12
3010,Post Malone,Paranoid,11,2018-05-12
3011,Ed Sheeran,Perfect,12,2018-05-12
3012,Lil Dicky Featuring Chris Brown,Freaky Friday,13,2018-05-12
3013,Post Malone,Rich & Sad,14,2018-05-12
3014,Post Malone Featuring Swae Lee,Spoil My Night,15,2018-05-12
3015,Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-05-12
3016,Post Malone,Stay,17,2018-05-12
3017,Migos Featuring Drake,Walk It Talk It,18,2018-05-12
3018,Bazzi,Mine,19,2018-05-12
3019,Post Malone Featuring G-Eazy & YG,Same Bitches,20,2018-05-12
3020,Imagine Dragons,Whatever It Takes,21,2018-05-12
3021,"Cardi B, Bad Bunny & J Balvin",I Like It,22,2018-05-12
3022,Post Malone,Zack And Codeine,23,2018-05-12
3023,Post Malone,Over Now,24,2018-05-12
3024,Marshmello & Anne-Marie,Friends,25,2018-05-12
3025,Cardi B,Be Careful,26,2018-05-12
3026,Camila Cabello Featuring Young Thug,Havana,27,2018-05-12
3027,Kane Brown,Heaven,28,2018-05-12
3028,Post Malone,Takin' Shots,29,2018-05-12
3029,The Weeknd & Kendrick Lamar,Pray For Me,30,2018-05-12
3030,Rich The Kid,Plug Walk,31,2018-05-12
3031,The Weeknd,Call Out My Name,32,2018-05-12
3032,Bruno Mars & Cardi B,Finesse,33,2018-05-12
3033,Post Malone,Candy Paint,34,2018-05-12
3034,Dua Lipa,New Rules,35,2018-05-12
3035,Shawn Mendes,In My Blood,36,2018-05-12
3036,Ella Mai,Boo'd Up,37,2018-05-12
3037,Maroon 5,Wait,38,2018-05-12
3038,Rae Sremmurd & Juicy J,Powerglide,39,2018-05-12
3039,Post Malone,92 Explorer,40,2018-05-12
3040,Jason Aldean,You Make It Easy,41,2018-05-12
3041,J. Cole,ATM,42,2018-05-12
3042,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,43,2018-05-12
3043,J. Cole,KOD,44,2018-05-12
3044,Offset & Metro Boomin,Ric Flair Drip,45,2018-05-12
3045,Post Malone,Otherside,46,2018-05-12
3046,Post Malone,Blame It On Me,47,2018-05-12
3047,J. Cole,Kevin's Heart,48,2018-05-12
3048,Kendrick Lamar & SZA,All The Stars,49,2018-05-12
3049,Nicki Minaj,Chun-Li,50,2018-05-12
3050,Lil Pump,Esskeetit,51,2018-05-12
3051,Nicky Jam x J Balvin,X,52,2018-05-12
3052,Migos,Stir Fry,53,2018-05-12
3053,Daddy Yankee,Dura,54,2018-05-12
3054,Famous Dex,Japan,55,2018-05-12
3055,Taylor Swift,Delicate,56,2018-05-12
3056,Post Malone,Sugar Wraith,57,2018-05-12
3057,Cardi B Featuring Migos,Drip,58,2018-05-12
3058,Meghan Trainor,No Excuses,59,2018-05-12
3059,XXXTENTACION,Sad!,60,2018-05-12
3060,Calvin Harris & Dua Lipa,One Kiss,61,2018-05-12
3061,Mason Ramsey,Famous,62,2018-05-12
3062,Khalid & Normani,Love Lies,63,2018-05-12
3063,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,64,2018-05-12
3064,Luke Combs,One Number Away,65,2018-05-12
3065,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,66,2018-05-12
3066,Dan + Shay,Tequila,67,2018-05-12
3067,Rich The Kid Featuring Kendrick Lamar,New Freezer,68,2018-05-12
3068,Dua Lipa,IDGAF,69,2018-05-12
3069,Logic & Marshmello,Everyday,70,2018-05-12
3070,J. Cole,Motiv8,71,2018-05-12
3071,YoungBoy Never Broke Again,Outside Today,72,2018-05-12
3072,Post Malone,Jonestown (Interlude),73,2018-05-12
3073,Luke Bryan,Most People Are Good,74,2018-05-12
3074,Cardi B Featuring 21 Savage,Bartier Cardi,75,2018-05-12
3075,Jordan Davis,Singles You Up,76,2018-05-12
3076,YoungBoy Never Broke Again,Overdose,77,2018-05-12
3077,Justin Timberlake Featuring Chris Stapleton,Say Something,78,2018-05-12
3078,J. Cole,1985 (Intro To The Fall Off),79,2018-05-12
3079,J. Cole,Photograph,80,2018-05-12
3080,Lauv,I Like Me Better,81,2018-05-12
3081,"Khalid, Ty Dolla $ign & 6LACK",OTW,82,2018-05-12
3082,Morgan Wallen Featuring Florida Georgia Line,Up Down,83,2018-05-12
3083,Kenny Chesney,Get Along,84,2018-05-12
